line.id phenotype sex
line_181 0.208 f
line_181 0.16 f
line_181 0.199 f
line_181 0.215 f
line_181 0.236 f
line_306 0.277 f
line_306 0.293 f
line_306 0.32 f
line_306 0.246 f
line_306 0.207 f
line_149 0.263 f
line_149 0.252 f
line_149 0.167 f
line_149 0.253 f
line_149 0.247 f
line_765 0.301 f
line_765 0.254 f
line_765 0.275 f
line_765 0.302 f
line_765 0.236 f
line_40 0.243 f
line_40 0.31 f
line_40 0.345 f
line_40 0.238 f
line_40 0.251 f
line_338 0.399 f
line_338 0.335 f
line_338 0.28 f
line_338 0.247 f
line_338 0.339 f
line_646 0.352 f
line_646 0.321 f
line_646 0.29 f
line_646 0.26 f
line_646 0.32 f
line_627 0.222 f
line_627 0.25 f
line_627 0.215 f
line_627 0.215 f
line_627 0.203 f
line_409 0.313 f
line_409 0.284 f
line_409 0.264 f
line_409 0.42 f
line_409 0.259 f
line_357 0.38 f
line_357 0.245 f
line_357 0.368 f
line_357 0.286 f
line_357 0.342 f
line_810 0.323 f
line_810 0.263 f
line_810 0.27 f
line_810 0.212 f
line_810 0.314 f
line_821 0.307 f
line_821 0.345 f
line_821 0.393 f
line_821 0.351 f
line_821 0.333 f
line_310 0.263 f
line_310 0.289 f
line_310 0.262 f
line_310 0.315 f
line_310 0.268 f
line_727 0.227 f
line_727 0.308 f
line_727 0.207 f
line_727 0.275 f
line_727 0.348 f
line_227 0.238 f
line_227 0.338 f
line_227 0.33 f
line_227 0.368 f
line_227 0.324 f
line_335 0.267 f
line_335 0.272 f
line_335 0.206 f
line_335 0.27 f
line_335 0.22 f
line_374 0.256 f
line_374 0.182 f
line_374 0.256 f
line_374 0.237 f
line_374 0.242 f
line_348 0.233 f
line_348 0.3 f
line_348 0.293 f
line_348 0.262 f
line_348 0.21 f
line_879 0.255 f
line_879 0.25 f
line_879 0.256 f
line_879 0.248 f
line_879 0.327 f
line_911 0.195 f
line_911 0.202 f
line_911 0.191 f
line_911 0.169 f
line_911 0.184 f
line_138 0.32 f
line_138 0.33 f
line_138 0.256 f
line_138 0.318 f
line_138 0.344 f
line_443 0.25 f
line_443 0.274 f
line_443 0.204 f
line_443 0.252 f
line_443 0.205 f
line_85 0.193 f
line_85 0.288 f
line_85 0.206 f
line_85 0.231 f
line_85 0.198 f
line_461 0.216 f
line_461 0.266 f
line_461 0.271 f
line_461 0.248 f
line_461 0.295 f
line_855 0.178 f
line_855 0.215 f
line_855 0.261 f
line_855 0.207 f
line_855 0.183 f
line_491 0.206 f
line_491 0.174 f
line_491 0.194 f
line_491 0.252 f
line_491 0.215 f
line_801 0.3 f
line_801 0.198 f
line_801 0.28 f
line_801 0.265 f
line_801 0.26 f
line_563 0.221 f
line_563 0.161 f
line_563 0.196 f
line_563 0.174 f
line_563 0.132 f
line_332 0.232 f
line_332 0.241 f
line_332 0.252 f
line_332 0.223 f
line_332 0.258 f
line_738 0.243 f
line_738 0.228 f
line_738 0.258 f
line_738 0.159 f
line_738 0.268 f
line_101 0.287 f
line_101 0.265 f
line_101 0.263 f
line_101 0.224 f
line_101 0.279 f
line_790 0.268 f
line_790 0.311 f
line_790 0.329 f
line_790 0.251 f
line_790 0.411 f
line_589 0.321 f
line_589 0.322 f
line_589 0.219 f
line_589 0.28 f
line_589 0.277 f
line_319 0.243 f
line_319 0.241 f
line_319 0.231 f
line_319 0.226 f
line_319 0.231 f
line_786 0.285 f
line_786 0.32 f
line_786 0.192 f
line_786 0.206 f
line_786 0.17 f
line_321 0.275 f
line_321 0.196 f
line_321 0.288 f
line_321 0.357 f
line_321 0.213 f
line_630 0.25 f
line_630 0.321 f
line_630 0.264 f
line_630 0.299 f
line_630 0.298 f
line_375 0.298 f
line_375 0.305 f
line_375 0.301 f
line_375 0.257 f
line_375 0.254 f
line_787 0.234 f
line_787 0.253 f
line_787 0.206 f
line_787 0.235 f
line_787 0.238 f
line_362 0.336 f
line_362 0.321 f
line_362 0.362 f
line_362 0.38 f
line_362 0.326 f
line_799 0.185 f
line_799 0.208 f
line_799 0.19 f
line_799 0.211 f
line_799 0.263 f
line_41 0.33 f
line_41 0.239 f
line_41 0.285 f
line_41 0.239 f
line_41 0.281 f
line_239 0.266 f
line_239 0.298 f
line_239 0.228 f
line_239 0.335 f
line_239 0.198 f
line_105 0.262 f
line_105 0.295 f
line_105 0.245 f
line_105 0.224 f
line_105 0.251 f
line_392 0.212 f
line_392 0.244 f
line_392 0.22 f
line_392 0.194 f
line_392 0.225 f
line_843 0.225 f
line_843 0.249 f
line_843 0.224 f
line_843 0.227 f
line_843 0.233 f
line_907 0.196 f
line_907 0.222 f
line_907 0.201 f
line_907 0.18 f
line_907 0.231 f
line_913 0.319 f
line_913 0.287 f
line_913 0.18 f
line_913 0.213 f
line_913 0.231 f
line_228 0.37 f
line_228 0.288 f
line_228 0.324 f
line_228 0.347 f
line_228 0.313 f
line_75 0.254 f
line_75 0.397 f
line_75 0.307 f
line_75 0.291 f
line_75 0.255 f
line_365 0.243 f
line_365 0.292 f
line_365 0.337 f
line_365 0.25 f
line_365 0.194 f
line_721 0.317 f
line_721 0.295 f
line_721 0.299 f
line_721 0.229 f
line_721 0.235 f
line_774 0.23 f
line_774 0.207 f
line_774 0.26 f
line_774 0.222 f
line_774 0.252 f
line_136 0.296 f
line_136 0.336 f
line_136 0.284 f
line_136 0.236 f
line_136 0.176 f
line_551 0.288 f
line_551 0.297 f
line_551 0.173 f
line_551 0.174 f
line_551 0.174 f
line_360 0.289 f
line_360 0.281 f
line_360 0.327 f
line_360 0.33 f
line_360 0.275 f
line_505 0.218 f
line_505 0.211 f
line_505 0.292 f
line_505 0.16 f
line_505 0.156 f
line_355 0.341 f
line_355 0.259 f
line_355 0.318 f
line_355 0.329 f
line_355 0.249 f
line_371 0.281 f
line_371 0.268 f
line_371 0.306 f
line_371 0.224 f
line_371 0.263 f
line_559 0.289 f
line_559 0.286 f
line_559 0.238 f
line_559 0.242 f
line_559 0.225 f
line_319 0.275 f
line_319 0.199 f
line_319 0.236 f
line_319 0.315 f
line_319 0.255 f
line_73 0.255 f
line_73 0.324 f
line_73 0.274 f
line_73 0.218 f
line_73 0.292 f
line_309 0.25 f
line_309 0.361 f
line_309 0.325 f
line_309 0.206 f
line_309 0.267 f
line_158 0.266 f
line_158 0.245 f
line_158 0.294 f
line_158 0.229 f
line_158 0.252 f
line_304 0.33 f
line_304 0.347 f
line_304 0.345 f
line_304 0.294 f
line_304 0.31 f
line_395 0.216 f
line_395 0.153 f
line_395 0.186 f
line_395 0.223 f
line_395 0.251 f
line_176 0.268 f
line_176 0.193 f
line_176 0.262 f
line_176 0.222 f
line_176 0.325 f
line_513 0.26 f
line_513 0.249 f
line_513 0.236 f
line_513 0.237 f
line_513 0.228 f
line_832 0.275 f
line_832 0.235 f
line_832 0.194 f
line_832 0.243 f
line_832 0.196 f
line_88 0.222 f
line_88 0.206 f
line_88 0.211 f
line_88 0.218 f
line_88 0.222 f
line_859 0.259 f
line_859 0.274 f
line_859 0.237 f
line_859 0.303 f
line_859 0.277 f
line_28 0.285 f
line_28 0.245 f
line_28 0.23 f
line_28 0.208 f
line_28 0.281 f
line_399 0.259 f
line_399 0.266 f
line_399 0.274 f
line_399 0.236 f
line_399 0.268 f
line_440 0.297 f
line_440 0.23 f
line_440 0.268 f
line_440 0.123 f
line_440 0.243 f
line_853 0.306 f
line_853 0.317 f
line_853 0.279 f
line_853 0.269 f
line_853 0.293 f
line_21 0.203 f
line_21 0.29 f
line_21 0.235 f
line_21 0.265 f
line_21 0.256 f
line_352 0.21 f
line_352 0.174 f
line_352 0.301 f
line_352 0.315 f
line_352 0.242 f
line_320 0.204 f
line_320 0.193 f
line_320 0.205 f
line_320 0.25 f
line_320 0.176 f
line_390 0.233 f
line_390 0.19 f
line_390 0.247 f
line_390 0.206 f
line_390 0.205 f
line_381 0.3 f
line_381 0.251 f
line_381 0.247 f
line_381 0.183 f
line_381 0.187 f
line_229 0.23 f
line_229 0.3 f
line_229 0.296 f
line_229 0.274 f
line_229 0.281 f
line_109 0.234 f
line_109 0.235 f
line_109 0.262 f
line_109 0.208 f
line_109 0.26 f
line_406 0.335 f
line_406 0.256 f
line_406 0.299 f
line_406 0.225 f
line_406 0.28 f
line_356 0.223 f
line_356 0.252 f
line_356 0.251 f
line_356 0.307 f
line_356 0.229 f
line_129 0.258 f
line_129 0.283 f
line_129 0.316 f
line_129 0.314 f
line_129 0.294 f
line_894 0.227 f
line_894 0.256 f
line_894 0.258 f
line_894 0.21 f
line_894 0.202 f
line_83 0.347 f
line_83 0.283 f
line_83 0.299 f
line_83 0.367 f
line_83 0.269 f
line_849 0.22 f
line_849 0.187 f
line_849 0.191 f
line_849 0.218 f
line_849 0.19 f
line_897 0.293 f
line_897 0.262 f
line_897 0.196 f
line_897 0.213 f
line_897 0.185 f
line_38 0.28 f
line_38 0.377 f
line_38 0.235 f
line_38 0.272 f
line_38 0.238 f
line_59 0.187 f
line_59 0.173 f
line_59 0.166 f
line_59 0.204 f
line_59 0.16 f
line_737 0.346 f
line_737 0.294 f
line_737 0.258 f
line_737 0.293 f
line_737 0.335 f
line_808 0.243 f
line_808 0.192 f
line_808 0.171 f
line_808 0.195 f
line_808 0.22 f
line_31 0.3 f
line_31 0.338 f
line_31 0.332 f
line_31 0.264 f
line_31 0.282 f
line_857 0.215 m
line_857 0.173 m
line_857 0.156 m
line_857 0.162 m
line_857 0.18 m
line_318 0.165 m
line_318 0.174 m
line_318 0.167 m
line_318 0.146 m
line_318 0.158 m
line_900 0.162 m
line_900 0.146 m
line_900 0.153 m
line_900 0.121 m
line_900 0.133 m
line_439 0.151 m
line_439 0.14 m
line_439 0.157 m
line_439 0.152 m
line_818 0.173 m
line_818 0.193 m
line_818 0.204 m
line_818 0.168 m
line_818 0.175 m
line_509 0.184 m
line_509 0.202 m
line_509 0.207 m
line_509 0.192 m
line_509 0.198 m
line_822 0.164 m
line_822 0.183 m
line_822 0.163 m
line_822 0.182 m
